tahun,bulan,curah hujan,tekanan udara,kecepatan angin,suhu,hari hujan
2007,6,164.1,921.1,3,23.1,9
2007,7,11,922.4,3,23.3,1
2007,8,22,923.2,3,23.6,10
2007,9,44.1,922.8,3,24.4,9
2007,10,98.4,922.8,3,24.5,15
2007,11,316.2,922.2,3,23.6,25
2007,12,410.5,920,3,22.9,22
2008,1,240.9,922,4,23.3,19
2008,2,103.3,921.9,2,22.5,26
2008,3,242.4,921.9,4,22.8,22
2008,4,327.1,921.8,3,22.9,23
2008,5,171.2,923,3,23,23
2008,6,65.3,923.2,3,22.7,15
2008,7,3.6,923.3,3,22.7,7
2008,8,58.6,923.1,3,23.1,2
2008,9,41.5,923.5,3,24.2,7
2008,10,137,923.1,3,24,21
2008,11,277.3,921.9,3,23.1,19
2008,12,332.8,921.8,3,23.4,18
2009,1,208.5,922.7,4,23.1,19
2009,2,200.5,921.6,4,22.9,26
2009,3,365.7,922.7,3,23,22
2009,4,165.6,922.6,3,23.4,23
2009,5,183.8,922.6,3,23.4,23
2009,6,101,923.4,3,23.4,15
2009,7,24.2,923.7,3,23,7
2009,8,0.5,923.1,3,23.6,2
2009,9,24,923.6,3,24.4,7
2009,10,234.5,923.8,3,23.4,21
2009,11,318.2,922.2,3,23.3,19
2009,12,271.1,923.1,3,23.5,18
2010,1,353.3,923.4,3,22.9,27
2010,2,557.1,923.3,3,23.2,25
2010,3,531,923.1,3,23.1,31
2010,4,93,922.8,3,24.6,17
2010,5,345,921.5,3,24,21
2010,6,191.9,922.9,3,23.3,18
2010,7,220.8,922.8,3,22.9,20
2010,8,220.8,922.8,3,23.3,21
2010,9,424.4,922.4,3,22.9,26
2010,10,292.2,922,3,23.2,25
2010,11,401.4,921.7,3,23.3,28
2010,12,237.5,919.9,3,23,26
2011,1,63,920.7,4,23,21
2011,2,76.7,921.2,5,23.5,16
2011,3,89.4,921.2,3,23.5,22
2011,4,381.5,922.2,3,23.4,26
2011,5,193.4,922.5,3,23.6,24
2011,6,117.6,922.5,3,23.3,9
2011,7,77.2,922.8,3,22.8,12
2011,8,3.1,923.1,3,23,5
2011,9,102.8,923.6,3,23.4,11
2011,10,103.6,922.4,3,24.1,16
2011,11,321.4,921.6,3,22.9,26
2011,12,259,921.4,3,24,27
2012,1,82.9,921.2,4,23.4,27
2012,2,303.7,921.9,3,23.5,25
2012,3,155.5,922.2,4,23.7,20
2012,4,290.8,923.5,3,23.5,24
2012,5,257.1,922.9,3,23.2,20
2012,6,60.5,923.6,3,23.3,10
2012,7,34.2,923.5,3,22.6,6
2012,8,0,924.3,3,23.2,1
2012,9,27,924.4,3,24,12
2012,10,125,923.8,3,24.2,18
2012,11,537,923.2,3,23.3,27
2012,12,637,922.1,3,23.3,29
2013,1,216.9,923.3,4,23.4,26
2013,2,250,922.1,4,23.4,23
2013,3,305,923.4,4,23.8,24
2013,4,286,922.7,3,23.7,26
2013,5,171,922.9,3,23.5,23
2013,6,231.5,922.1,3,23.6,16
2013,7,159,923.2,3,22.5,16
2013,8,74,923.9,3,23.2,9
2013,9,172,923.8,3,23.7,10
2013,10,234,924.5,3,23.8,21
2013,11,164,922.5,4,23.8,19
2013,12,418,922.5,3,23.1,27
2014,1,309,923.9,4,22.5,27
2014,2,88.9,922.9,4,22.9,17
2014,3,418.7,923.7,3,23.3,25
2014,4,217.6,923.6,3,23.7,22
2014,5,176.7,923.6,3,23.5,23
2014,6,195.5,923.1,3,23.5,20
2014,7,180.6,924.1,3,23,15
2014,8,119.8,924.4,3,23.1,12
2014,9,0.6,924.8,4,23.7,3
2014,10,65,924.2,4,24.2,11
2014,11,296.5,923.7,3,23.6,26
2014,12,316.4,922.9,4,23.7,25
2015,1,188,924,4,23.2,22
2015,2,189.1,923.8,5,23.1,20
2015,3,318.6,924.1,5,23.4,28
2015,4,285.2,923.2,4,23.6,25
2015,5,322.4,924.1,4,23.4,23
2015,6,58.8,923.9,4,23.1,26
2015,7,0.3,924.5,4,23.1,5
2015,8,6.9,924.4,4,23.6,4
2015,9,43.2,924.8,4,23.8,4
2015,10,37.9,925.1,4,24.5,5
2015,11,455,923.4,4,23.9,24
2015,12,311.5,924.1,4,23.7,23
2016,1,188,924.5,4,23.8,23
2016,2,189.1,924.1,5,24,23
2016,3,318.6,924.2,4,24.1,30
2016,4,285.2,923.7,4,24,29
2016,5,322.4,923.3,4,24,27
2016,6,58.8,924.1,4,23.7,21
2016,7,0.3,923.5,4,23.3,23
2016,8,6.9,922.3,4,23.6,17
2016,9,43.2,923.5,4,23.6,25
2016,10,37.9,923.1,4,23.1,29
2016,11,455,923,4,23.4,30
2016,12,311.5,922.1,6,24.4,23
2017,1,65.3,922.3,5,24.2,23
2017,2,199.3,923.2,5,23,24
2017,3,389.3,923.3,5,23.3,27
2017,4,220.2,923.4,4,23.6,27
2017,5,222.3,923.3,4,23.9,18
2017,6,106.4,923.9,4,23.4,17
2017,7,39.1,924,5,23.4,14
2017,8,48.4,923.6,5,23.3,6
2017,9,90.8,923.9,4,23.7,12
2017,10,345.3,922.8,4,23.4,24
2017,11,442.2,921.1,5,23.1,25
2017,12,129.9,922,6,23.9,20
2018,1,191,921,11,23.3,28
2018,2,239.3,922.9,11,23.6,23
2018,3,292,922.3,9,23.6,25
2018,4,297.6,922.2,9,23.8,23
2018,5,123.9,922.8,7,23.7,15
2018,6,33.4,923.9,7,23.7,15
2018,7,0.3,923.1,7,22.9,3
2018,8,38.9,923.4,7,23.3,7
2018,9,40.8,923.7,9,23.7,8
2018,10,124.8,923.6,7,24.2,18
2018,11,483.2,923.3,6,23.7,23
2018,12,323.5,922.7,6,23.7,22
2019,1,231.6,923.3,6,23.7,24
2019,2,269.1,924.2,4,23.8,24
2019,3,222.7,923.5,5,23.6,25
2019,4,298.9,922.7,4,23.9,25
2019,5,245.7,923.5,5,23.9,23
2019,6,26.5,923.4,5,23.3,4
2019,7,13.4,923.8,4,22.7,4
2019,8,0.2,924,4,23,4
2019,9,55,925,5,23.8,3
2019,10,84.2,923.6,5,24.9,0.46
2019,11,270.7,923.7,3,24.2,0.96
2019,12,313.5,923.5,3,23.7,1.08
2020,1,207.6,923.4,2,25.7,23
2020,2,337,924.1,2,25.2,27
2020,3,291,923.3,2,25.8,27
2020,4,271,923.5,1,25.9,20
2020,5,292,923.1,1,25.9,17
2020,6,30,923.3,2,26,15
2020,7,64,923.1,2,25.4,9
2020,8,42,923,2,26.2,8
2020,9,88,923.1,2,26.9,9
2020,10,327,922.6,2,25.8,20
2020,11,207,922.9,2,26.2,23
2020,12,262,922,3,25.4,29
2021,1,146.4,921.7,9,23.3,27
2021,2,153.9,922.4,9,23.4,20
2021,3,292.5,923.3,7,23.6,24
2021,4,177.3,923.1,7,23.8,18
2021,5,239,922.4,6,24.1,16
2021,6,92.4,923.7,4,23.5,21
2021,7,33.2,923.7,6,23.1,8
2021,8,91.8,923.6,6,23.5,8
2021,9,73,923,6,23.8,13
2021,10,218.4,922.9,4,23.8,21
2021,11,454.3,921.9,4,23.4,26
2021,12,198.5,923,4,23.7,28
2022,1,59.5,923,3.5,26.4,20
2022,2,117.1,922,2.7,25,21
2022,3,238.9,921.8,2.7,26,25
2022,4,336.2,923,1.6,25.3,28
2022,5,146.9,922.5,2.3,25.7,25
2022,6,150.6,923,1.8,24.5,20
2022,7,98.5,922.4,2.2,25.1,23
2022,8,29.9,922.7,2.3,25.6,26
2022,9,182.2,923.4,2.2,25.6,26
2022,10,366.7,922.9,1.9,25,30
2022,11,307.2,922.5,2.2,25,28
2022,12,277.7,921.7,2.3,24.9,29
2023,1,67,923.4,5.9,24,10
2023,2,111,923.2,4.9,23.3,20
2023,3,200,924.3,2.9,23.7,20
2023,4,276,923.6,2.4,24.1,18
2023,5,269,925.8,2.1,24.6,13
2023,6,90,924.7,2.3,24.1,11
2023,7,24,925.3,2.9,23.7,3
2023,8,30,926,2.8,23.9,4
2023,9,18,925.9,3.5,24.7,1
2023,10,62,926.4,3.4,25.5,4
2023,11,239,924.8,2,24.8,18
2023,12,365,924.6,2,24.6,21

